archivo_pdf,certificado_no,marca,chasis,linea,pasajeros,modelo,clase,placa,motor,color
1943853451951.pdf,65,NISSANCHASIS,,NP,,,ZA DARRO ECETIA,P-054FRD,GA167825,A NEFICI
1943853451951.pdf,66,ISUZU,JAANPR71HE7100337,NP,3,2014,CAMION,C-633BNT,M188330,BLANCO
1943853451951.pdf,67,ISUZU,JAANPR71HE7100330,NP,3,2014,CAMION,C-630BNT,R187938,BLANCO
1943853451951.pdf,69,ISUZU,JAANPR71HE7100329,NP,3,2014,CAMION,C-628BNT,M187959,BLANCO
1943853451951.pdf,70,IPLACACBNTPRATFPPRFORPALA,JAANPR71HE7100334,NP,3,2014,CAMION,,PEFECTIV,WO TO PT
1943853451951.pdf,71,ISUZU,JAANPR71HE7100335,NP,3,2014,CAMION,,M188304,BLANCO
1943853451951.pdf,72,ISUZU,JAANPR71HE7100473,NP,3,2014,A 8 AA,,,A JEFICI
1943853451951.pdf,73,ISUZU,JAANPR71HE7100339,NP,3,2014,DA DANNE ERFCEOTIVOY,,,NEFICI
1943853451951.pdf,74,ISUZU,JAANPR71HE7100341,NP,2,2014,CAMION,C-6368NTC,JQUETZAL,NEFICI
1943853451951.pdf,75,ISUZU,JAANPR71HE7100338,NP,3,2014,CS EE,C-6268NTM,188350I,LO NE FICT
1943853451951.pdf,77,ISUZU,JAANPR71HE7100343,NP,3,2014,A WHINE A DA YY,,,VEFICI
1943853451951.pdf,79,ISUZU,JAANPR71HE7100336,NP,3,2014,STA DANN EFECTIVG,,JQUETZAL,NEFICI
1943853451951.pdf,80,TOYOTACHASIS,MELDS0PANELM0T0R2,COLORS,,2015,,,,BLANCO
1943853451951.pdf,82,ISUZU,JAANPR71HE7100643,LNEA,3,2014,CAMION,,C09SBN7Z,BLANCO
1943853451951.pdf,84,ISUZU,JAANPR71HE7100645,NP,3,2014,CAMION,C-097BNZ,C097BN7Z,BLANCO
1943853451951.pdf,85,ALPLACACNZOALAGUATENALAS,JAANPR71HE7100476,NP,3,2014,CAMION,,,OS JEEION
1943853451951.pdf,86,ISUZU,JAANPR71HE7100475,NP,3,2014,CAMION,C-099BNZ,M196840,BLANCO
1943853451951.pdf,87,IMIARC,JULY1NUDE111ENE11,LNEA,3,2014,CAMION,C-101BNZ,C101BNZ1,BLANCO
1943853451951.pdf,88,ISUZU,M1DSTRAM1SAL0M0T0,NP,3,2015,CAMION,,2616193A,BLANCO
1943853451951.pdf,90,ALPLACACNZTEPMPMALASIATERIALAIT,JALFVR34PE7000217,FVR,,2014,,,,JEEIOI
1943853451951.pdf,91,ISUZU,JALFVR34PE7000085,FVR,3,2014,CAMION,,M6526338,BLANCO
