sample_id,pdf_id,pdf_filename,page_num_1based,page_idx_0based,n_pages_in_pdf,quota_for_pdf,stratum,selection_rule,reviewer,status,certificado_no,marca,chasis,linea,pasajeros,modelo,clase,placa,motor,color,quality_flag,notes,labeled_at_utc
1943853451940_p001,1943853451940,1943853451940.pdf,1,0,21,8,hard_front,fixed:1,,in_progress,444,ISUZU,JAANPR71HR7101039,KE,3,2024,CAMION,C-607BYF,MOVNE0S,BLANCO,,seed_from_model,
1943853451940_p020,1943853451940,1943853451940.pdf,20,19,21,8,hard_end,fixed:n-1,,in_progress,463,ISUZU,JAANPR71HST10C019,NP,3,2025,CAMION,C-209BYF,N2O7N315,BLANCO,,seed_from_model,
1943853451943_p020,1943853451943,1943853451943.pdf,20,19,21,8,hard_end,fixed:n-1,,in_progress,421,ISUZU,JAANKRGEGEK100094,SENMOOELO,3,2019,CAMION,O-038BRX,M740202,S/C,,seed_from_model,
1943853451949_p001,1943853451949,1943853451949.pdf,1,0,21,8,hard_front,fixed:1,,in_progress,231,ISUZU,JAANPR71HH7100038,NKR,3,2017,CAMION,C-920BCQ,M503206,BLANCO,,seed_from_model,
1943853451950_p002,1943853451950,1943853451950.pdf,2,1,21,8,hard_front,fixed:2,,in_progress,93,ISUZU,JALFVR34PE7000135,FVR,3,2014,CAMION,C-981BNZ,M655385,BLANCO,,seed_from_model,
1943853451950_p020,1943853451950,1943853451950.pdf,20,19,21,8,hard_end,fixed:n-1,,in_progress,229,ISUZU,JANNPR11HH1100019,LINESNKR,3,2017,CAMION,P-921BCQ,M48S817,BLANCO,,seed_from_model,
1943853451950_p021,1943853451950,1943853451950.pdf,21,20,21,8,hard_end,fixed:n,,in_progress,230,ISUZU,JAANPR71HH7100937,LINESNKR,3,2017,CAMION,C-922BCQ,M600275,BLANCO,,seed_from_model,
1943853451951_p002,1943853451951,1943853451951.pdf,2,1,21,8,hard_front,fixed:2,,in_progress,66,ISUZU,JAANPR71HE7100337,NP,3,2014,CAMION,C-633BNT,M188330,BLANCO,,seed_from_model,
1943853451940_p006,1943853451940,1943853451940.pdf,6,5,21,8,begin,anchor:0.28n,,in_progress,449,ISUZU,JAANPR71HR7101237,NP,3,2024,CAMION,C-672BYF,MCMAI18,BLANCO,,seed_from_model,
1943853451940_p012,1943853451940,1943853451940.pdf,12,11,21,8,middle,anchor:0.58n,,in_progress,455,ISUZU,JAANPR71HST10C0S2,NP,3,2025,CAMION,C-233BYK,MO7NS76,BLANCO,,seed_from_model,
1943853451940_p016,1943853451940,1943853451940.pdf,16,15,21,8,end,anchor:0.75n,,in_progress,459,ISUZU,JAANPR71HS710C032,NP,3,2025,CAMION,C-202BYF,MOVABSW,BLANCO,,seed_from_model,
1943853451941_p012,1943853451941,1943853451941.pdf,12,11,21,8,middle,anchor:0.58n,,in_progress,434,ISUZU,MPAUCS40GRTC00483,MU-X,7,2024,SUV / CAMIONETA,P-445KTY,SECXERSC,BLANCO PERLA DOLOMITE,,seed_from_model,
1943853451952_p010,1943853451952,1943853451952.pdf,10,9,20,8,middle,anchor:0.50n,,in_progress,48,ISUZU,JAANPR71HC7100265,NP,3,2012,CAMION,C-260BMY,M927961,BLANCO,,seed_from_model,
1943853451952_p011,1943853451952,1943853451952.pdf,11,10,20,8,middle,anchor:0.56n,,in_progress,49,ISUZU,JAANPR71HC7101396,NP,3,2013,CAMION,C-694BND,M2515,BLANCO,,seed_from_model,
