sample_id,pdf_id,pdf_filename,page_num_1based,page_idx_0based,n_pages_in_pdf,quota_for_pdf,stratum,selection_rule,reviewer,status,certificado_no,marca,chasis,linea,pasajeros,modelo,clase,placa,motor,color,quality_flag,notes,labeled_at_utc
1943853451940_p001,1943853451940,1943853451940.pdf,1,0,21,8,hard_front,fixed:1,,todo,,,,,,,,,,,,,
1943853451940_p002,1943853451940,1943853451940.pdf,2,1,21,8,hard_front,fixed:2,,todo,,,,,,,,,,,,,
1943853451940_p006,1943853451940,1943853451940.pdf,6,5,21,8,begin,anchor:0.28n,,todo,,,,,,,,,,,,,
1943853451940_p011,1943853451940,1943853451940.pdf,11,10,21,8,middle,anchor:0.50n,,todo,,,,,,,,,,,,,
1943853451940_p012,1943853451940,1943853451940.pdf,12,11,21,8,middle,anchor:0.58n,,todo,,,,,,,,,,,,,
1943853451940_p016,1943853451940,1943853451940.pdf,16,15,21,8,end,anchor:0.75n,,todo,,,,,,,,,,,,,
1943853451940_p020,1943853451940,1943853451940.pdf,20,19,21,8,hard_end,fixed:n-1,,todo,,,,,,,,,,,,,
1943853451940_p021,1943853451940,1943853451940.pdf,21,20,21,8,hard_end,fixed:n,,todo,,,,,,,,,,,,,
1943853451941_p001,1943853451941,1943853451941.pdf,1,0,21,8,hard_front,fixed:1,,todo,,,,,,,,,,,,,
1943853451941_p002,1943853451941,1943853451941.pdf,2,1,21,8,hard_front,fixed:2,,todo,,,,,,,,,,,,,
1943853451941_p006,1943853451941,1943853451941.pdf,6,5,21,8,begin,anchor:0.28n,,todo,,,,,,,,,,,,,
1943853451941_p011,1943853451941,1943853451941.pdf,11,10,21,8,middle,anchor:0.50n,,todo,,,,,,,,,,,,,
1943853451941_p012,1943853451941,1943853451941.pdf,12,11,21,8,middle,anchor:0.58n,,todo,,,,,,,,,,,,,
1943853451941_p016,1943853451941,1943853451941.pdf,16,15,21,8,end,anchor:0.75n,,todo,,,,,,,,,,,,,
1943853451941_p020,1943853451941,1943853451941.pdf,20,19,21,8,hard_end,fixed:n-1,,todo,,,,,,,,,,,,,
1943853451941_p021,1943853451941,1943853451941.pdf,21,20,21,8,hard_end,fixed:n,,todo,,,,,,,,,,,,,
1943853451942_p001,1943853451942,1943853451942.pdf,1,0,12,6,hard_front,fixed:1,,todo,,,,,,,,,,,,,
1943853451942_p002,1943853451942,1943853451942.pdf,2,1,12,6,hard_front,fixed:2,,todo,,,,,,,,,,,,,
1943853451942_p004,1943853451942,1943853451942.pdf,4,3,12,6,begin,anchor:0.33n,,todo,,,,,,,,,,,,,
1943853451942_p007,1943853451942,1943853451942.pdf,7,6,12,6,middle,anchor:0.58n,,todo,,,,,,,,,,,,,
1943853451942_p011,1943853451942,1943853451942.pdf,11,10,12,6,hard_end,fixed:n-1,,todo,,,,,,,,,,,,,
1943853451942_p012,1943853451942,1943853451942.pdf,12,11,12,6,hard_end,fixed:n,,todo,,,,,,,,,,,,,
1943853451943_p001,1943853451943,1943853451943.pdf,1,0,21,8,hard_front,fixed:1,,todo,,,,,,,,,,,,,
1943853451943_p002,1943853451943,1943853451943.pdf,2,1,21,8,hard_front,fixed:2,,todo,,,,,,,,,,,,,
1943853451943_p006,1943853451943,1943853451943.pdf,6,5,21,8,begin,anchor:0.28n,,todo,,,,,,,,,,,,,
1943853451943_p011,1943853451943,1943853451943.pdf,11,10,21,8,middle,anchor:0.50n,,todo,,,,,,,,,,,,,
1943853451943_p012,1943853451943,1943853451943.pdf,12,11,21,8,middle,anchor:0.58n,,todo,,,,,,,,,,,,,
1943853451943_p016,1943853451943,1943853451943.pdf,16,15,21,8,end,anchor:0.75n,,todo,,,,,,,,,,,,,
1943853451943_p020,1943853451943,1943853451943.pdf,20,19,21,8,hard_end,fixed:n-1,,todo,,,,,,,,,,,,,
1943853451943_p021,1943853451943,1943853451943.pdf,21,20,21,8,hard_end,fixed:n,,todo,,,,,,,,,,,,,
1943853451944_p001,1943853451944,1943853451944.pdf,1,0,21,8,hard_front,fixed:1,,todo,,,,,,,,,,,,,
1943853451944_p002,1943853451944,1943853451944.pdf,2,1,21,8,hard_front,fixed:2,,todo,,,,,,,,,,,,,
1943853451944_p006,1943853451944,1943853451944.pdf,6,5,21,8,begin,anchor:0.28n,,todo,,,,,,,,,,,,,
1943853451944_p011,1943853451944,1943853451944.pdf,11,10,21,8,middle,anchor:0.50n,,todo,,,,,,,,,,,,,
1943853451944_p012,1943853451944,1943853451944.pdf,12,11,21,8,middle,anchor:0.58n,,todo,,,,,,,,,,,,,
1943853451944_p016,1943853451944,1943853451944.pdf,16,15,21,8,end,anchor:0.75n,,todo,,,,,,,,,,,,,
1943853451944_p020,1943853451944,1943853451944.pdf,20,19,21,8,hard_end,fixed:n-1,,todo,,,,,,,,,,,,,
1943853451944_p021,1943853451944,1943853451944.pdf,21,20,21,8,hard_end,fixed:n,,todo,,,,,,,,,,,,,
1943853451945_p001,1943853451945,1943853451945.pdf,1,0,21,8,hard_front,fixed:1,,todo,,,,,,,,,,,,,
1943853451945_p002,1943853451945,1943853451945.pdf,2,1,21,8,hard_front,fixed:2,,todo,,,,,,,,,,,,,
1943853451945_p006,1943853451945,1943853451945.pdf,6,5,21,8,begin,anchor:0.28n,,todo,,,,,,,,,,,,,
1943853451945_p011,1943853451945,1943853451945.pdf,11,10,21,8,middle,anchor:0.50n,,todo,,,,,,,,,,,,,
1943853451945_p012,1943853451945,1943853451945.pdf,12,11,21,8,middle,anchor:0.58n,,todo,,,,,,,,,,,,,
1943853451945_p016,1943853451945,1943853451945.pdf,16,15,21,8,end,anchor:0.75n,,todo,,,,,,,,,,,,,
1943853451945_p020,1943853451945,1943853451945.pdf,20,19,21,8,hard_end,fixed:n-1,,todo,,,,,,,,,,,,,
1943853451945_p021,1943853451945,1943853451945.pdf,21,20,21,8,hard_end,fixed:n,,todo,,,,,,,,,,,,,
1943853451946_p001,1943853451946,1943853451946.pdf,1,0,21,8,hard_front,fixed:1,,todo,,,,,,,,,,,,,
1943853451946_p002,1943853451946,1943853451946.pdf,2,1,21,8,hard_front,fixed:2,,todo,,,,,,,,,,,,,
1943853451946_p006,1943853451946,1943853451946.pdf,6,5,21,8,begin,anchor:0.28n,,todo,,,,,,,,,,,,,
1943853451946_p011,1943853451946,1943853451946.pdf,11,10,21,8,middle,anchor:0.50n,,todo,,,,,,,,,,,,,
1943853451946_p012,1943853451946,1943853451946.pdf,12,11,21,8,middle,anchor:0.58n,,todo,,,,,,,,,,,,,
1943853451946_p016,1943853451946,1943853451946.pdf,16,15,21,8,end,anchor:0.75n,,todo,,,,,,,,,,,,,
1943853451946_p020,1943853451946,1943853451946.pdf,20,19,21,8,hard_end,fixed:n-1,,todo,,,,,,,,,,,,,
1943853451946_p021,1943853451946,1943853451946.pdf,21,20,21,8,hard_end,fixed:n,,todo,,,,,,,,,,,,,
1943853451948_p001,1943853451948,1943853451948.pdf,1,0,21,8,hard_front,fixed:1,,todo,,,,,,,,,,,,,
1943853451948_p002,1943853451948,1943853451948.pdf,2,1,21,8,hard_front,fixed:2,,todo,,,,,,,,,,,,,
1943853451948_p006,1943853451948,1943853451948.pdf,6,5,21,8,begin,anchor:0.28n,,todo,,,,,,,,,,,,,
1943853451948_p011,1943853451948,1943853451948.pdf,11,10,21,8,middle,anchor:0.50n,,todo,,,,,,,,,,,,,
1943853451948_p012,1943853451948,1943853451948.pdf,12,11,21,8,middle,anchor:0.58n,,todo,,,,,,,,,,,,,
1943853451948_p016,1943853451948,1943853451948.pdf,16,15,21,8,end,anchor:0.75n,,todo,,,,,,,,,,,,,
1943853451948_p020,1943853451948,1943853451948.pdf,20,19,21,8,hard_end,fixed:n-1,,todo,,,,,,,,,,,,,
1943853451948_p021,1943853451948,1943853451948.pdf,21,20,21,8,hard_end,fixed:n,,todo,,,,,,,,,,,,,
1943853451949_p001,1943853451949,1943853451949.pdf,1,0,21,8,hard_front,fixed:1,,todo,,,,,,,,,,,,,
1943853451949_p002,1943853451949,1943853451949.pdf,2,1,21,8,hard_front,fixed:2,,todo,,,,,,,,,,,,,
1943853451949_p006,1943853451949,1943853451949.pdf,6,5,21,8,begin,anchor:0.28n,,todo,,,,,,,,,,,,,
1943853451949_p011,1943853451949,1943853451949.pdf,11,10,21,8,middle,anchor:0.50n,,todo,,,,,,,,,,,,,
1943853451949_p012,1943853451949,1943853451949.pdf,12,11,21,8,middle,anchor:0.58n,,todo,,,,,,,,,,,,,
1943853451949_p016,1943853451949,1943853451949.pdf,16,15,21,8,end,anchor:0.75n,,todo,,,,,,,,,,,,,
1943853451949_p020,1943853451949,1943853451949.pdf,20,19,21,8,hard_end,fixed:n-1,,todo,,,,,,,,,,,,,
1943853451949_p021,1943853451949,1943853451949.pdf,21,20,21,8,hard_end,fixed:n,,todo,,,,,,,,,,,,,
1943853451950_p001,1943853451950,1943853451950.pdf,1,0,21,8,hard_front,fixed:1,,todo,,,,,,,,,,,,,
1943853451950_p002,1943853451950,1943853451950.pdf,2,1,21,8,hard_front,fixed:2,,todo,,,,,,,,,,,,,
1943853451950_p006,1943853451950,1943853451950.pdf,6,5,21,8,begin,anchor:0.28n,,todo,,,,,,,,,,,,,
1943853451950_p011,1943853451950,1943853451950.pdf,11,10,21,8,middle,anchor:0.50n,,todo,,,,,,,,,,,,,
1943853451950_p012,1943853451950,1943853451950.pdf,12,11,21,8,middle,anchor:0.58n,,todo,,,,,,,,,,,,,
1943853451950_p016,1943853451950,1943853451950.pdf,16,15,21,8,end,anchor:0.75n,,todo,,,,,,,,,,,,,
1943853451950_p020,1943853451950,1943853451950.pdf,20,19,21,8,hard_end,fixed:n-1,,todo,,,,,,,,,,,,,
1943853451950_p021,1943853451950,1943853451950.pdf,21,20,21,8,hard_end,fixed:n,,todo,,,,,,,,,,,,,
1943853451951_p001,1943853451951,1943853451951.pdf,1,0,21,8,hard_front,fixed:1,,todo,,,,,,,,,,,,,
1943853451951_p002,1943853451951,1943853451951.pdf,2,1,21,8,hard_front,fixed:2,,todo,,,,,,,,,,,,,
1943853451951_p006,1943853451951,1943853451951.pdf,6,5,21,8,begin,anchor:0.28n,,todo,,,,,,,,,,,,,
1943853451951_p011,1943853451951,1943853451951.pdf,11,10,21,8,middle,anchor:0.50n,,todo,,,,,,,,,,,,,
1943853451951_p012,1943853451951,1943853451951.pdf,12,11,21,8,middle,anchor:0.58n,,todo,,,,,,,,,,,,,
1943853451951_p016,1943853451951,1943853451951.pdf,16,15,21,8,end,anchor:0.75n,,todo,,,,,,,,,,,,,
1943853451951_p020,1943853451951,1943853451951.pdf,20,19,21,8,hard_end,fixed:n-1,,todo,,,,,,,,,,,,,
1943853451951_p021,1943853451951,1943853451951.pdf,21,20,21,8,hard_end,fixed:n,,todo,,,,,,,,,,,,,
1943853451952_p001,1943853451952,1943853451952.pdf,1,0,20,8,hard_front,fixed:1,,todo,,,,,,,,,,,,,
1943853451952_p002,1943853451952,1943853451952.pdf,2,1,20,8,hard_front,fixed:2,,todo,,,,,,,,,,,,,
1943853451952_p006,1943853451952,1943853451952.pdf,6,5,20,8,begin,anchor:0.28n,,todo,,,,,,,,,,,,,
1943853451952_p010,1943853451952,1943853451952.pdf,10,9,20,8,middle,anchor:0.50n,,todo,,,,,,,,,,,,,
1943853451952_p011,1943853451952,1943853451952.pdf,11,10,20,8,middle,anchor:0.56n,,todo,,,,,,,,,,,,,
1943853451952_p015,1943853451952,1943853451952.pdf,15,14,20,8,end,anchor:0.75n,,todo,,,,,,,,,,,,,
1943853451952_p019,1943853451952,1943853451952.pdf,19,18,20,8,hard_end,fixed:n-1,,todo,,,,,,,,,,,,,
1943853451952_p020,1943853451952,1943853451952.pdf,20,19,20,8,hard_end,fixed:n,,todo,,,,,,,,,,,,,
