sample_id,pdf_id,pdf_filename,page_num_1based,page_idx_0based,n_pages_in_pdf,quota_for_pdf,stratum,selection_rule,reviewer,status,certificado_no,marca,chasis,linea,pasajeros,modelo,clase,placa,motor,color,quality_flag,notes,labeled_at_utc
1943853451940_p001,1943853451940,1943853451940.pdf,1,0,21,8,hard_front,fixed:1,,in_progress,444,ISUZU,JAANPR71HR7101039,KE,3,2024,CAMION,C-607BYF,MOVNE0S,BLANCO,,seed_from_model,
1943853451940_p002,1943853451940,1943853451940.pdf,2,1,21,8,hard_front,fixed:2,,in_progress,445,ISUZU,JAAMNPR11HR710102,NP,3,2024,CAMION,,MOVNODS,BLANCO,,seed_from_model,
1943853451940_p006,1943853451940,1943853451940.pdf,6,5,21,8,begin,anchor:0.28n,,in_progress,449,ISUZU,JAANPR71HR7101237,NP,3,2024,CAMION,C-672BYF,MCMAI18,BLANCO,,seed_from_model,
1943853451940_p011,1943853451940,1943853451940.pdf,11,10,21,8,middle,anchor:0.50n,,in_progress,454,ISUZU,JAANPR71HR7101229,NP,3,2024,CAMION,,0774199,BLANCO,,seed_from_model,
1943853451940_p012,1943853451940,1943853451940.pdf,12,11,21,8,middle,anchor:0.58n,,in_progress,455,ISUZU,JAANPR71HST10C0S2,NP,3,2025,CAMION,C-233BYK,MO7NS76,BLANCO,,seed_from_model,
1943853451940_p016,1943853451940,1943853451940.pdf,16,15,21,8,end,anchor:0.75n,,in_progress,459,ISUZU,JAANPR71HS710C032,NP,3,2025,CAMION,C-202BYF,MOVABSW,BLANCO,,seed_from_model,
1943853451940_p020,1943853451940,1943853451940.pdf,20,19,21,8,hard_end,fixed:n-1,,in_progress,463,ISUZU,JAANPR71HST10C019,NP,3,2025,CAMION,C-209BYF,N2O7N315,BLANCO,,seed_from_model,
1943853451940_p021,1943853451940,1943853451940.pdf,21,20,21,8,hard_end,fixed:n,,in_progress,464,ISUZU,JAANPR71HST10C01S,NP,3,2025,CAMION,,MOVNA269,BLANCO,,seed_from_model,
1943853451941_p001,1943853451941,1943853451941.pdf,1,0,21,8,hard_front,fixed:1,,in_progress,423,ISUZU,JAANKRGGEK7100096,,3,2019,CAMION,,M740398,S/C,,seed_from_model,
1943853451941_p002,1943853451941,1943853451941.pdf,2,1,21,8,hard_front,fixed:2,,in_progress,424,ISUZU,JAANKRGGEK1100098,,3,2019,CAMION,O-381TBR,M740730,S/C,,seed_from_model,
